,station_train_code,train_no,class,on,off
0,C1001(长春-延吉西),11000C100103,C,长春,延吉西
1,C1002(延吉西-长春),1c000C100206,C,延吉西,长春
2,C1003(长春-珲春),11000C100302,C,长春,珲春
3,C1004(延吉西-长春),1c000C100403,C,延吉西,长春
4,C1005(长春-延吉西),11000C100502,C,长春,延吉西
5,C1006(延吉西-长春),1c000C100604,C,延吉西,长春
6,C1007(长春-延吉西),11000C100704,C,长春,延吉西
7,C1008(珲春-长春),1c000C100801,C,珲春,长春
8,C1009(长春-珲春),11000C100905,C,长春,珲春
9,C1010(延吉西-长春),1c000C101002,C,延吉西,长春
10,C1011(长春-延吉西),11000C101102,C,长春,延吉西
11,C1012(珲春-长春),1c000C101202,C,珲春,长春
12,C1013(长春-珲春),11000C101304,C,长春,珲春
13,C1014(珲春-长春),1c000C101402,C,珲春,长春
14,C1015(长春-珲春),11000C101503,C,长春,珲春
15,C1016(延吉西-长春),1c000C101603,C,延吉西,长春
16,C1017(长春-延吉西),11000C101703,C,长春,延吉西
17,C1018(延吉西-长春),1c000C101803,C,延吉西,长春
18,C1019(长春-延吉西),11000C101903,C,长春,延吉西
19,C1020(延吉西-长春),1c000C102004,C,延吉西,长春
20,C1021(长春-延吉西),11000C102103,C,长春,延吉西
21,C1022(珲春-长春),1c000C102201,C,珲春,长春
22,C1023(长春-珲春),11000C102302,C,长春,珲春
23,C1024(延吉西-长春),1c000C102402,C,延吉西,长春
24,C1025(长春-珲春),11000C102503,C,长春,珲春
25,C1026(珲春-长春),1c000C102602,C,珲春,长春
26,C1027(长春-延吉西),11000C102704,C,长春,延吉西
27,C1028(延吉西-长春),1c000C102802,C,延吉西,长春
28,C1031(延吉西-珲春),1c000C103101,C,延吉西,珲春
29,C1032(珲春-延吉西),1c000C103202,C,珲春,延吉西
30,C1034(珲春-延吉西),1c000C103401,C,珲春,延吉西
31,C1035(延吉西-珲春),1c000C10350D,C,延吉西,珲春
32,C1036(珲春-延吉西),1c000C10360D,C,珲春,延吉西
33,C1037(敦化-珲春),18000C103701,C,敦化,珲春
34,C1038(延吉西-敦化),1c000C103801,C,延吉西,敦化
35,C1041(长春-延吉西),11000C104101,C,长春,延吉西
36,C1042(珲春-长春),1c000C104203,C,珲春,长春
37,C1043(长春-珲春),11000C104302,C,长春,珲春
38,C1044(珲春-长春),1c000C104402,C,珲春,长春
39,C1049(吉林-蛟河西),18000C104900,C,吉林,蛟河西
40,C1050(蛟河西-长春),1c000C105001,C,蛟河西,长春
41,C1201(长春西-吉林),1g000C120102,C,长春西,吉林
42,C1202(吉林-长春),18000C120203,C,吉林,长春
43,C1203(长春-吉林),11000C120300,C,长春,吉林
44,C1204(吉林-长春),18000C120401,C,吉林,长春
45,C1205(长春-蛟河西),11000C120502,C,长春,蛟河西
46,C1206(吉林-长春),18000C120603,C,吉林,长春
47,C1207(长春-吉林),11000C120701,C,长春,吉林
48,C1208(蛟河西-长春),1c000C120801,C,蛟河西,长春
49,C1209(长春-吉林),11000C120902,C,长春,吉林
50,C1210(吉林-长春),18000C121002,C,吉林,长春
51,C1211(长春-吉林),11000C121102,C,长春,吉林
52,C1212(吉林-长春),18000C121202,C,吉林,长春
53,C1213(长春-吉林),11000C121302,C,长春,吉林
54,C1214(吉林-长春),18000C121402,C,吉林,长春
55,C1215(长春-吉林),11000C121501,C,长春,吉林
56,C1216(吉林-长春),18000C121602,C,吉林,长春
57,C1217(长春-吉林),11000C121702,C,长春,吉林
58,C1218(吉林-长春),18000C121802,C,吉林,长春
59,C1219(长春-吉林),11000C121901,C,长春,吉林
60,C1220(吉林-长春),18000C122002,C,吉林,长春
61,C1221(长春-吉林),11000C122103,C,长春,吉林
62,C1222(吉林-长春),18000C122202,C,吉林,长春
63,C1223(长春-吉林),11000C122303,C,长春,吉林
64,C1224(吉林-长春),18000C122403,C,吉林,长春
65,C1225(长春-吉林),11000C122502,C,长春,吉林
66,C1226(吉林-长春),18000C122603,C,吉林,长春
67,C1227(长春-吉林),11000C122702,C,长春,吉林
68,C1228(吉林-长春),18000C122801,C,吉林,长春
69,C1229(长春-吉林),11000C122904,C,长春,吉林
70,C1230(吉林-长春),18000C123002,C,吉林,长春
71,C1232(吉林-长春),18000C123202,C,吉林,长春
72,C1233(长春-吉林),11000C123308,C,长春,吉林
73,C1241(长春-吉林),11000C124101,C,长春,吉林
74,C1243(长春-吉林),11000C124302,C,长春,吉林
75,C1244(吉林-长春),18000C124404,C,吉林,长春
76,C1245(长春-吉林),11000C124501,C,长春,吉林
77,C1246(吉林-长春),18000C124601,C,吉林,长春
78,C1247(长春-吉林),11000C124701,C,长春,吉林
79,C1248(吉林-长春),18000C124801,C,吉林,长春
80,C1249(长春-吉林),11000C124903,C,长春,吉林
81,C1250(吉林-长春),18000C125000,C,吉林,长春
82,C1301(长春-白城),11000C130120,C,长春,白城
83,C1302(乌兰浩特-长春),11000C130200,C,乌兰浩特,长春
84,C1303(长春-乌兰浩特),11000C130310,C,长春,乌兰浩特
85,C1304(白城-长春),11000C130400,C,白城,长春
86,C1305(长春-乌兰浩特),11000C130510,C,长春,乌兰浩特
87,C1306(乌兰浩特-长春),11000C130600,C,乌兰浩特,长春
88,C1307(长春-白城),11000C130700,C,长春,白城
89,C1308(乌兰浩特-长春),11000C130801,C,乌兰浩特,长春
90,C1309(长春-乌兰浩特),11000C130900,C,长春,乌兰浩特
91,C1310(白城-长春),11000C131000,C,白城,长春
92,C1311(长春-白城),11000C131100,C,长春,白城
93,C1312(乌兰浩特-长春),11000C131210,C,乌兰浩特,长春
94,C1321(长春-松原),11000C132102,C,长春,松原
95,C1322(松原-长春),11000C132202,C,松原,长春
96,C1331(白城-乌兰浩特),11000C133100,C,白城,乌兰浩特
97,C1332(乌兰浩特-白城),11000C133200,C,乌兰浩特,白城
98,C2001(北京南-天津),24000C20010N,C,北京南,天津
99,C2002(天津-北京南),25000C20020K,C,天津,北京南
100,C2003(北京南-天津),24000C20030G,C,北京南,天津
101,C2004(天津-北京南),25000C20040C,C,天津,北京南
102,C2005(北京南-天津),24000C20050F,C,北京南,天津
103,C2006(天津-北京南),25000C20060C,C,天津,北京南
104,C2008(天津-北京南),25000C20080K,C,天津,北京南
105,C2011(北京南-天津),24000C20110H,C,北京南,天津
106,C2012(天津-北京南),25000C20120O,C,天津,北京南
107,C2013(北京南-天津),24000C20130I,C,北京南,天津
108,C2014(天津-北京南),25000C20140A,C,天津,北京南
109,C2015(北京南-天津),24000C20150M,C,北京南,天津
110,C2016(天津-北京南),25000C20160E,C,天津,北京南
111,C2017(北京南-天津),24000C20170I,C,北京南,天津
112,C2018(天津-北京南),25000C20180I,C,天津,北京南
113,C2019(北京南-天津),24000C20190F,C,北京南,天津
114,C2022(天津-北京南),25000C20220G,C,天津,北京南
115,C2023(北京南-天津),24000C20230J,C,北京南,天津
116,C2025(北京南-天津),24000C20250E,C,北京南,天津
117,C2026(天津-北京南),25000C20260G,C,天津,北京南
118,C2028(天津-北京南),25000C20280G,C,天津,北京南
119,C2029(北京南-天津),24000C20290K,C,北京南,天津
120,C2030(天津-北京南),25000C20300D,C,天津,北京南
121,C2031(北京南-天津),24000C20310K,C,北京南,天津
122,C2032(天津-北京南),25000C20320F,C,天津,北京南
123,C2033(北京南-天津),24000C20330S,C,北京南,天津
124,C2034(天津-北京南),25000C20340J,C,天津,北京南
125,C2035(北京南-天津),24000C20350F,C,北京南,天津
126,C2037(北京南-天津),24000C20370H,C,北京南,天津
127,C2038(天津-北京南),25000C20380H,C,天津,北京南
128,C2039(北京南-天津),24000C20390F,C,北京南,天津
129,C2040(天津-北京南),25000C20400H,C,天津,北京南
130,C2041(北京南-天津),24000C20410I,C,北京南,天津
131,C2042(天津-北京南),25000C20420E,C,天津,北京南
132,C2043(北京南-天津),24000C20430N,C,北京南,天津
133,C2046(天津-北京南),25000C20460K,C,天津,北京南
134,C2047(北京南-天津),24000C20470I,C,北京南,天津
135,C2048(天津-北京南),25000C20480P,C,天津,北京南
136,C2049(北京南-天津),24000C20490H,C,北京南,天津
137,C2050(天津-北京南),25000C20500J,C,天津,北京南
138,C2051(北京南-天津),24000C20510H,C,北京南,天津
139,C2053(北京南-天津),24000C20530K,C,北京南,天津
140,C2054(天津-北京南),25000C20540J,C,天津,北京南
141,C2056(天津-北京南),25000C20560D,C,天津,北京南
142,C2057(北京南-天津),24000C20570H,C,北京南,天津
143,C2060(天津-北京南),25000C20600D,C,天津,北京南
144,C2061(北京南-天津),24000C20610J,C,北京南,天津
145,C2062(天津-北京南),25000C20620G,C,天津,北京南
146,C2063(北京南-天津),24000C20630I,C,北京南,天津
147,C2064(天津-北京南),25000C20640H,C,天津,北京南
148,C2065(北京南-天津),24000C20650G,C,北京南,天津
149,C2066(天津-北京南),25000C20660F,C,天津,北京南
150,C2067(北京南-天津),24000C20670E,C,北京南,天津
151,C2069(北京南-天津),24000C20690E,C,北京南,天津
152,C2070(天津-北京南),25000C20700I,C,天津,北京南
153,C2073(北京南-天津),24000C20730D,C,北京南,天津
154,C2076(天津-北京南),25000C20760J,C,天津,北京南
155,C2078(天津-北京南),25000C20780I,C,天津,北京南
156,C2079(北京南-天津),24000C20790J,C,北京南,天津
157,C2080(天津-北京南),25000C20800C,C,天津,北京南
158,C2081(北京南-天津),24000C20810G,C,北京南,天津
159,C2082(天津-北京南),25000C20820H,C,天津,北京南
160,C2083(北京南-天津),24000C20830E,C,北京南,天津
161,C2084(天津-北京南),25000C20840K,C,天津,北京南
162,C2085(北京南-天津),24000C20850H,C,北京南,天津
163,C2086(天津-北京南),25000C20860F,C,天津,北京南
164,C2087(北京南-天津),24000C20870F,C,北京南,天津
165,C2090(天津-北京南),25000C20900S,C,天津,北京南
166,C2091(北京南-天津),24000C20910M,C,北京南,天津
167,C2092(天津-北京南),25000C20920D,C,天津,北京南
168,C2093(北京南-天津),24000C20930K,C,北京南,天津
169,C2094(天津-北京南),25000C20940D,C,天津,北京南
170,C2095(北京南-天津),24000C209509,C,北京南,天津
171,C2096(天津-北京南),25000C20960G,C,天津,北京南
172,C2097(北京南-天津),24000C20970Q,C,北京南,天津
173,C2098(天津-北京南),25000C20980G,C,天津,北京南
174,C2102(天津-北京南),25000C21020W,C,天津,北京南
175,C2103(北京南-天津),24000C210312,C,北京南,天津
176,C2201(北京南-天津),24000C22010K,C,北京南,天津
177,C2202(天津-北京南),25000C22020G,C,天津,北京南
178,C2203(北京南-天津),24000C22030E,C,北京南,天津
179,C2204(天津-北京南),25000C22040F,C,天津,北京南
180,C2205(北京南-天津),24000C22050H,C,北京南,天津
181,C2206(天津-北京南),25000C22060E,C,天津,北京南
182,C2207(北京南-天津),24000C22070E,C,北京南,天津
183,C2208(天津-北京南),25000C22080G,C,天津,北京南
184,C2209(北京南-天津),24000C22090M,C,北京南,天津
185,C2210(天津-北京南),25000C22100F,C,天津,北京南
186,C2211(北京南-天津),24000C22110G,C,北京南,天津
187,C2212(天津-北京南),25000C22120G,C,天津,北京南
188,C2214(天津-北京南),25000C22140A,C,天津,北京南
189,C2215(北京南-天津),24000C22150C,C,北京南,天津
190,C2216(天津-北京南),25000C22160C,C,天津,北京南
191,C2217(北京南-天津),24000C22170D,C,北京南,天津
192,C2218(天津-北京南),25000C22180F,C,天津,北京南
193,C2219(北京南-天津),24000C22190L,C,北京南,天津
194,C2220(天津-北京南),25000C22200D,C,天津,北京南
195,C2221(北京南-天津),24000C22210G,C,北京南,天津
196,C2222(天津-北京南),25000C22220E,C,天津,北京南
197,C2223(北京南-天津),24000C22230B,C,北京南,天津
198,C2224(天津-北京南),25000C22240F,C,天津,北京南
199,C2225(北京南-天津),24000C22250A,C,北京南,天津
200,C2226(天津-北京南),25000C22260C,C,天津,北京南
201,C2227(北京南-天津),24000C22270I,C,北京南,天津
202,C2228(天津-北京南),25000C22280H,C,天津,北京南
203,C2229(北京南-天津),24000C22290F,C,北京南,天津
204,C2230(天津-北京南),25000C22300L,C,天津,北京南
205,C2231(北京南-天津),24000C22310G,C,北京南,天津
206,C2232(天津-北京南),25000C22320F,C,天津,北京南
207,C2233(北京南-天津),24000C22330J,C,北京南,天津
208,C2234(天津-北京南),25000C22340C,C,天津,北京南
209,C2235(北京南-天津),24000C223508,C,北京南,天津
210,C2236(天津-北京南),25000C22360B,C,天津,北京南
211,C2237(北京南-天津),24000C22370B,C,北京南,天津
212,C2238(天津-北京南),25000C22380C,C,天津,北京南
213,C2239(北京南-天津),24000C22390L,C,北京南,天津
214,C2240(天津-北京南),25000C22400C,C,天津,北京南
215,C2241(北京南-天津),24000C22410M,C,北京南,天津
216,C2242(天津-北京南),25000C22420P,C,天津,北京南
217,C2243(北京南-天津),24000C22430K,C,北京南,天津
218,C2244(天津-北京南),25000C22440K,C,天津,北京南
219,C2245(北京南-天津),24000C22450B,C,北京南,天津
220,C2246(天津-北京南),25000C22460B,C,天津,北京南
221,C2301(天津-于家堡),25000C230104,C,天津,于家堡
222,C2302(于家堡-天津),25000C230204,C,于家堡,天津
223,C2303(天津-于家堡),25000C230304,C,天津,于家堡
224,C2304(于家堡-天津),25000C230404,C,于家堡,天津
225,C2305(天津-于家堡),25000C230504,C,天津,于家堡
226,C2306(于家堡-天津),25000C230604,C,于家堡,天津
227,C2307(天津-于家堡),25000C230705,C,天津,于家堡
228,C2308(于家堡-天津),25000C230804,C,于家堡,天津
229,C2309(天津-于家堡),25000C230904,C,天津,于家堡
230,C2311(天津-于家堡),25000C231102,C,天津,于家堡
231,C2312(于家堡-天津),25000C231201,C,于家堡,天津
232,C2313(天津-于家堡),25000C231302,C,天津,于家堡
233,C2314(于家堡-天津),25000C231401,C,于家堡,天津
234,C2315(天津-于家堡),25000C231501,C,天津,于家堡
235,C2316(于家堡-天津),25000C231601,C,于家堡,天津
236,C2317(天津-于家堡),25000C231701,C,天津,于家堡
237,C2318(于家堡-天津),25000C231801,C,于家堡,天津
238,C2319(天津-于家堡),25000C231901,C,天津,于家堡
239,C2320(于家堡-天津),25000C232001,C,于家堡,天津
240,C2321(天津-于家堡),25000C232101,C,天津,于家堡
241,C2322(于家堡-天津),25000C232201,C,于家堡,天津
242,C2323(天津-于家堡),25000C232301,C,天津,于家堡
243,C2324(于家堡-天津),25000C232401,C,于家堡,天津
244,C2325(天津-于家堡),25000C232501,C,天津,于家堡
245,C2326(于家堡-天津),25000C232601,C,于家堡,天津
246,C2327(天津-于家堡),25000C232701,C,天津,于家堡
247,C2328(于家堡-天津),25000C232801,C,于家堡,天津
248,C2329(天津-于家堡),25000C232901,C,天津,于家堡
249,C2330(于家堡-天津),25000C233001,C,于家堡,天津
250,C2331(天津-于家堡),25000C233101,C,天津,于家堡
251,C2332(于家堡-天津),25000C233201,C,于家堡,天津
252,C2333(天津-于家堡),25000C233301,C,天津,于家堡
253,C2334(于家堡-天津),25000C233401,C,于家堡,天津
254,C2335(天津-于家堡),25000C233501,C,天津,于家堡
255,C2336(于家堡-天津),25000C233601,C,于家堡,天津
256,C2337(天津-于家堡),25000C233701,C,天津,于家堡
257,C2580(于家堡-北京南),25000C258001,C,于家堡,北京南
258,C2581(北京南-于家堡),24000C258105,C,北京南,于家堡
259,C2582(于家堡-北京南),25000C258203,C,于家堡,北京南
260,C2583(北京南-于家堡),24000C258304,C,北京南,于家堡
261,C2584(于家堡-北京南),25000C258403,C,于家堡,北京南
262,C2585(北京南-于家堡),24000C258504,C,北京南,于家堡
263,C2586(于家堡-北京南),25000C258603,C,于家堡,北京南
264,C2587(北京南-于家堡),24000C258704,C,北京南,于家堡
265,C2588(于家堡-北京南),25000C258805,C,于家堡,北京南
266,C2589(北京南-于家堡),24000C258903,C,北京南,于家堡
267,C2590(于家堡-北京南),25000C259003,C,于家堡,北京南
268,C2591(北京南-于家堡),24000C259104,C,北京南,于家堡
269,C2592(于家堡-北京南),25000C259204,C,于家堡,北京南
270,C2593(北京南-于家堡),24000C259303,C,北京南,于家堡
